browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1920,1080,Windows,en-US,2026-04-28_17:28:29,2026-04-28_22:58:29,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,199.696

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"2",form,"","","","","","","","","","",Participant number,Please enter the participant number included in the instruction email here.,box,Please enter the participant number included in your instruction email below:,,"","",26182,"7138",5602,"0",NA
"4",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",36627,left,811,"1",""
"5",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",40659,right,1677,"1",""
"6",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",42924,up,443,"1",""
"7",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",44780,down,466,"1",""
"8",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",46845,left,597,"1",""
"9",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",48980,right,533,"1",""
"10",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",50772,up,457,"1",""
"11",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",52966,down,401,"1",""
"17",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",57412,up,2064,"1",""
"15",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",60077,right,1878,"1",""
"13",test,RED,red,congruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",61573,left,708,"1",""
"19",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",63124,down,759,"1",""
"16",test,YELLOW,red,incongruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",65884,left,1969,"1",""
"20",test,BLUE,green,incongruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",69900,up,3219,"1",""
"18",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",71604,right,906,"1",""
"14",test,RED,blue,incongruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",73668,down,1270,"1",""
"22",test,RED,yellow,incongruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.67",75244,right,780,"1",""
"26",test,GREEN,blue,incongruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.66",77805,down,1774,"1",""
"23",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.67",79820,right,1222,"1",""
"28",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",81381,left,766,"1",""
"25",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",83668,up,1487,"1",""
"21",test,RED,red,congruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",85148,left,684,"1",""
"24",test,YELLOW,green,incongruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",87301,up,1352,"1",""
"27",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.66",88932,down,835,"1",""
"32",test,YELLOW,blue,incongruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",90901,down,1169,"1",""
"31",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"3","","","","",800,48,"16.67",92565,right,867,"1",""
"36",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"3","","","","",800,48,"16.67",93845,left,480,"1",""
